task_id,task_name,assigned_to,department,priority,status,created_date,due_date,estimated_hours,actual_hours,tags,days_to_deadline,task_month,task_weekday,is_overdue
1,Create marketing landing page,Eve,Backend,Medium,In Progress,2025-08-04,2025-08-24,16,,"optimization, deployment, frontend",20,8,Monday,1
2,Update mobile app UI,Grace,UI/UX,High,In Progress,2025-06-22,2025-07-12,7,,db,20,6,Sunday,1
3,Fix bug in login module,Hannah,UI/UX,High,Pending,2025-05-03,2025-05-07,12,,"payment, setup, alert",4,5,Saturday,1
4,Implement user authentication API,David,Backend,High,In Progress,2025-10-11,2025-10-15,5,,frontend,4,10,Saturday,1
5,Improve page load performance,Hannah,DevOps,Medium,Completed,2025-07-13,2025-08-03,12,11.0,design,21,7,Sunday,0
6,Setup CI/CD pipeline,Alice,QA,Medium,In Progress,2025-09-19,2025-10-06,5,,optimization,17,9,Friday,1
7,Prepare deployment scripts,David,Backend,Low,In Progress,2025-06-11,2025-06-14,14,,"testing, design",3,6,Wednesday,1
8,Write unit tests for backend,Hannah,QA,Medium,In Progress,2025-06-12,2025-06-13,4,,feedback,1,6,Thursday,1
9,Implement user authentication API,Eve,DevOps,High,In Progress,2025-08-28,2025-09-14,4,,testing,17,8,Thursday,1
10,Develop notification system,David,Backend,Low,In Progress,2025-10-09,2025-10-30,13,,design,21,10,Thursday,1
11,Implement user authentication API,Bob,Data,Medium,Pending,2025-08-03,2025-08-12,10,,"integration, deployment",9,8,Sunday,1
12,Update mobile app UI,Eve,QA,Low,Completed,2025-09-08,2025-09-26,10,3.0,setup,18,9,Monday,0
13,Create dashboard UI,David,Frontend,Medium,Pending,2025-07-10,2025-07-14,5,,"payment, feedback, dashboard",4,7,Thursday,1
14,Setup CI/CD pipeline,David,Backend,Low,Pending,2025-08-31,2025-09-21,2,,payment,21,8,Sunday,1
15,Collect user feedback,Hannah,DevOps,Medium,Pending,2025-08-28,2025-09-18,10,,frontend,21,8,Thursday,1
16,Deploy application to staging,Carol,QA,Medium,Pending,2025-06-11,2025-06-13,8,,"dashboard, deployment",2,6,Wednesday,1
17,Integrate payment gateway,David,UI/UX,High,Pending,2025-05-19,2025-05-26,13,,"api, backend",7,5,Monday,1
18,Implement user authentication API,Eve,UI/UX,Medium,In Progress,2025-07-17,2025-07-22,4,,"dashboard, testing",5,7,Thursday,1
19,Write unit tests for backend,Eve,Frontend,Medium,Pending,2025-08-06,2025-08-09,11,,payment,3,8,Wednesday,1
20,Implement user authentication API,Alice,Frontend,High,In Progress,2025-07-26,2025-08-04,5,,"setup, optimization, feedback",9,7,Saturday,1
21,Write unit tests for backend,Bob,Mobile,Medium,In Progress,2025-10-04,2025-10-05,6,,dashboard,1,10,Saturday,1
22,Implement search functionality,Eve,Data,High,Completed,2025-09-14,2025-09-24,3,3.0,"frontend, testing",10,9,Sunday,0
23,Integrate payment gateway,David,Mobile,Medium,Completed,2025-05-13,2025-05-20,4,4.0,"alert, frontend",7,5,Tuesday,0
24,Fix bug in login module,Frank,UI/UX,Medium,Pending,2025-07-10,2025-07-31,4,,alert,21,7,Thursday,1
25,Optimize database queries,Grace,Mobile,Medium,In Progress,2025-06-24,2025-07-13,15,,"design, alert, feedback",19,6,Tuesday,1
26,Implement user authentication API,Hannah,QA,Medium,Pending,2025-08-02,2025-08-09,6,,payment,7,8,Saturday,1
27,Design login page,Eve,UI/UX,Low,In Progress,2025-09-03,2025-09-15,1,,frontend,12,9,Wednesday,1
28,Create marketing landing page,Bob,DevOps,High,In Progress,2025-07-11,2025-07-23,15,,api,12,7,Friday,1
29,Setup CI/CD pipeline,Bob,QA,Low,Pending,2025-05-22,2025-05-23,16,,"deployment, design",1,5,Thursday,1
30,Analyze user activity data,Hannah,QA,Low,Completed,2025-06-10,2025-06-30,5,4.0,"design, feedback, testing",20,6,Tuesday,0
31,Create marketing landing page,David,Backend,High,Pending,2025-05-14,2025-05-22,6,,"testing, optimization",8,5,Wednesday,1
32,Write unit tests for backend,Eve,Mobile,Low,In Progress,2025-04-15,2025-04-18,1,,integration,3,4,Tuesday,1
33,Prepare deployment scripts,Alice,Data,High,Completed,2025-08-02,2025-08-03,4,3.0,"testing, backend",1,8,Saturday,0
34,Conduct code review,Hannah,Data,Low,Pending,2025-10-12,2025-10-18,5,,"deployment, setup",6,10,Sunday,1
35,Fix bug in login module,Carol,DevOps,Medium,Pending,2025-06-10,2025-06-30,11,,"integration, frontend, setup",20,6,Tuesday,1
36,Implement user authentication API,Bob,Backend,Medium,Completed,2025-10-12,2025-10-20,13,2.0,db,8,10,Sunday,0
37,Conduct code review,Carol,Frontend,Medium,In Progress,2025-06-07,2025-06-09,4,,"design, api, optimization",2,6,Saturday,1
38,Design login page,Grace,Backend,Medium,In Progress,2025-09-01,2025-09-15,11,,"testing, db, frontend",14,9,Monday,1
39,Fix bug in login module,Alice,Backend,Medium,In Progress,2025-06-25,2025-07-08,3,,"testing, backend",13,6,Wednesday,1
40,Deploy application to staging,Frank,Mobile,Medium,In Progress,2025-06-22,2025-06-29,14,,"optimization, feedback",7,6,Sunday,1
